,obj gurobi,status ,solve time,obj CCopt,status,solve time,obj Ipopt,,
quad_b1_S30.dat,26.060671895919743,4,0.36100006103515625,26.060672055628974,10,0.0820000171661377,26.060671895919743,4,0.3680000305175781
quad_b1_S35.dat,23.11335634237363,4,1.126000165939331,23.113356481956785,10,0.07899999618530273,23.11335634237363,4,1.1309998035430908
quad_b1_S40.dat,31.219159582755797,4,0.9720001220703125,31.219159745424786,10,0.1099998950958252,31.219159582755797,4,0.9579999446868896
quad_b1_S45.dat,33.81867032838427,4,1.4210000038146973,33.81842977580063,10,0.15799999237060547,33.81867032838427,4,1.376000165939331
quad_b1_S5.dat,30.232214423216767,4,0.03699994087219238,30.232214459326684,10,0.009999990463256836,30.232214423216767,4,0.03600001335144043
quad_b1_S50.dat,22.376481575115594,4,1.816999912261963,22.51409008986326,10,0.13299989700317383,22.376481575115594,4,1.7790000438690186
quad_b2_S10.dat,30.3304297288927,4,0.18000006675720215,30.330429794961436,10,0.01699995994567871,30.3304297288927,4,0.15799999237060547
quad_b2_S15.dat,24.844296978822165,4,0.23800015449523926,28.940492396150375,10,0.04799985885620117,24.844296978822165,4,0.25300002098083496
quad_b2_S20.dat,32.810875721458316,4,0.247999906539917,32.81087581824978,10,0.03399991989135742,32.810875721458316,4,0.24900007247924805
quad_b2_S25.dat,28.190450559250017,4,0.31399989128112793,28.190450690624075,10,0.06299996376037598,28.190450559250017,4,0.3430001735687256
quad_b2_S30.dat,30.711039969656333,4,0.5950000286102295,30.711040000798207,10,0.12599992752075195,30.711039969656333,4,0.5950000286102295
quad_b2_S35.dat,22.535322526601988,4,0.9839999675750732,22.53532266513558,10,0.12599992752075195,22.535322526601988,4,0.9700000286102295
quad_b2_S40.dat,32.190621288763836,4,1.0520000457763672,32.19062171457675,10,0.16299986839294434,32.190621288763836,4,1.0830001831054688
quad_b2_S45.dat,36.50670683945689,4,1.3289999961853027,36.50670708389881,10,0.26600003242492676,36.50670683945689,4,1.2969999313354492
quad_b2_S5.dat,30.601251572008646,4,0.08999991416931152,30.601251609982825,10,0.01399993896484375,30.601251572008646,4,0.07000017166137695
quad_b2_S50.dat,18.051564759728777,4,1.5469999313354492,24.19156497737194,10,0.3450000286102295,18.051564759728777,4,1.503000020980835
quad_b50_S10.dat,31.179917490913184,4,0.06699991226196289,31.179917551439658,10,0.014000177383422852,31.179917490913184,4,0.06299996376037598
quad_b50_S15.dat,26.501139062423622,4,0.20600008964538574,25.886649700972427,10,0.032000064849853516,26.501139062423622,4,0.22499990463256836
quad_b50_S20.dat,33.36789425102277,4,0.18000006675720215,34.069456296690866,10,0.12199997901916504,33.36789425102277,4,0.1830000877380371
quad_b50_S25.dat,27.550292907587068,4,0.35500001907348633,27.550293034105476,10,0.1099998950958252,27.550292907587068,4,0.36100006103515625
quad_b50_S30.dat,32.2938562239704,4,0.6410000324249268,32.293856412690886,10,0.15899991989135742,32.2938562239704,4,0.628000020980835
quad_b50_S35.dat,22.554988970710607,4,0.6110000610351562,24.132455014157035,10,0.16499996185302734,22.554988970710607,4,0.5950000286102295
quad_b50_S40.dat,32.34494256361401,4,1.0909998416900635,33.241002791114,10,0.315000057220459,32.34494256361401,4,1.0820000171661377
quad_b50_S45.dat,35.46780706696449,4,0.9249999523162842,35.64265759722358,10,0.3039999008178711,35.46780706696449,4,0.9049999713897705
quad_b50_S5.dat,31.031526413424732,4,0.09100008010864258,31.030500380997033,10,0.014999866485595703,31.031526413424732,4,0.1119999885559082
quad_b50_S50.dat,19.529731154179466,4,1.0950000286102295,25.73444129523485,10,0.8600001335144043,19.529731154179466,4,1.0939998626708984
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
